text,labels,processed_text,bigrams,trigrams,labels_num
 Each Executable Load File or Executable Module is associated with an AID that shall be unique on the card.,nonsec,"['executable', 'load', 'file', 'executable', 'module', 'associate', 'aid', 'shall', 'unique', 'card']","['executable_load', 'file', 'executable', 'module', 'associate', 'aid', 'shall', 'unique', 'card']","['executable_load_file', 'executable', 'module', 'associate', 'aid', 'shall', 'unique', 'card']",0
Transmissions between host systems should be protected by MACs based on unique keys that are shared by the nodes involved,sec,"['transmission', 'host', 'system', 'protect', 'macs', 'base', 'unique', 'key', 'share', 'node', 'involve']","['transmission', 'host', 'system', 'protect', 'macs', 'base', 'unique', 'key', 'share', 'node', 'involve']","['transmission', 'host', 'system', 'protect', 'macs', 'base', 'unique', 'key', 'share', 'node', 'involve']",1
" If a full or partial match is found and this Application cannot be selected due to a multi-selection restriction or because the Application refuses selection (e.g. because it does not support the current card interface), continue searching through the GlobalPlatform Registry for a subsequent full or partial match. If no subsequent full or partial match is found, the OPEN shall return the appropriate error to the off-card entity,",nonsec,"['partial', 'match', 'find', 'application', 'select', 'multi', 'selection', 'restriction', 'application', 'refuse', 'selection', 'support', 'current', 'card', 'interface', 'continue', 'search', 'globalplatform', 'registry', 'subsequent', 'partial', 'match', 'subsequent', 'partial', 'match', 'find', 'open', 'shall', 'return', 'appropriate', 'error', 'card', 'entity']","['partial_match', 'find', 'application', 'select', 'multi', 'selection', 'restriction', 'application', 'refuse', 'selection', 'support', 'current', 'card', 'interface', 'continue', 'search', 'globalplatform_registry', 'subsequent_partial', 'match', 'subsequent_partial', 'match_find', 'open', 'shall', 'return_appropriate', 'error', 'card', 'entity']","['partial_match_find', 'application', 'select', 'multi', 'selection', 'restriction', 'application', 'refuse', 'selection', 'support', 'current', 'card', 'interface', 'continue', 'search_globalplatform_registry', 'subsequent_partial', 'match', 'subsequent_partial_match_find', 'open', 'shall', 'return_appropriate_error', 'card', 'entity']",0
Media flows (data plane) transcoding shall be performed by STB or media gateway and not by the CNG.,nonsec,"['media', 'flow', 'datum', 'plane', 'transcoding', 'shall', 'perform', 'stb', 'medium', 'gateway', 'cng']","['media', 'flow', 'datum', 'plane', 'transcoding', 'shall', 'perform', 'stb_medium', 'gateway', 'cng']","['media', 'flow', 'datum', 'plane', 'transcoding', 'shall', 'perform', 'stb_medium_gateway', 'cng']",0
 On reception at the CNG of a message to access or update configuration information the CNG shall allow access only if the sender is an administrator.,sec,"['reception', 'cng', 'message', 'access', 'update', 'configuration', 'information', 'cng', 'shall', 'allow', 'access', 'sender', 'administrator']","['reception', 'cng', 'message', 'access', 'update', 'configuration', 'information', 'cng', 'shall', 'allow', 'access', 'sender', 'administrator']","['reception', 'cng', 'message', 'access', 'update', 'configuration', 'information', 'cng', 'shall', 'allow', 'access', 'sender', 'administrator']",1
The CND directly or through the CNG must be able to access to Network Configuration Service Function without involving any user interaction. ,nonsec,"['cnd', 'directly', 'cng', 'able', 'access', 'network', 'configuration', 'service', 'function', 'involve', 'user', 'interaction']","['cnd', 'directly', 'cng', 'able', 'access', 'network', 'configuration', 'service', 'function', 'involve', 'user', 'interaction']","['cnd', 'directly', 'cng', 'able', 'access', 'network', 'configuration', 'service', 'function', 'involve', 'user', 'interaction']",0
"A purchase transaction may be reversed, prior to the removal of the CEP card from the POS device, by sending a purchase reversal command to the CEP card, The CEP card must authenticate the PSAM using certificates previously exchanged",sec,"['purchase', 'transaction', 'reversed', 'prior', 'removal', 'cep', 'card', 'pos', 'device', 'send', 'purchase', 'reversal', 'command', 'cep', 'card', 'cep', 'card', 'authenticate', 'psam', 'certificate', 'previously', 'exchange']","['purchase_transaction', 'reversed', 'prior', 'removal', 'cep_card', 'pos_device', 'send', 'purchase', 'reversal', 'command', 'cep_card', 'cep_card', 'authenticate', 'psam', 'certificate', 'previously', 'exchange']","['purchase_transaction', 'reversed', 'prior', 'removal', 'cep_card', 'pos_device', 'send', 'purchase', 'reversal', 'command', 'cep_card', 'cep_card', 'authenticate', 'psam', 'certificate', 'previously', 'exchange']",1
The CNG may interact with the Resource and Admission Control Subsystem (RACS) as defined in ES 282 001 [9] to support remote real-time QoS control,nonsec,"['cng', 'interact', 'resource', 'admission', 'control', 'subsystem', 'racs', 'define', 'support', 'remote', 'real', 'time', 'qos', 'control']","['cng', 'interact', 'resource', 'admission', 'control', 'subsystem', 'racs', 'define', 'support', 'remote', 'real', 'time', 'qos', 'control']","['cng', 'interact', 'resource', 'admission', 'control', 'subsystem', 'racs', 'define', 'support', 'remote', 'real', 'time', 'qos', 'control']",0
"Pay on detail is the default payment arrangement for merchant acquirers to provide payment to their merchants. In this arrangement, the merchant acquirer relies on the POS transaction S5 MAC to determine acceptance. Merchants are paid only for valid POS transactions",sec,"['pay', 'detail', 'default', 'payment', 'arrangement', 'merchant', 'acquirer', 'provide', 'payment', 'merchant', 'arrangement', 'merchant', 'acquirer', 'rely', 'pos', 'transaction', 'mac', 'determine', 'acceptance', 'merchant', 'pay', 'valid', 'pos', 'transaction']","['pay', 'detail', 'default', 'payment', 'arrangement', 'merchant_acquirer', 'provide', 'payment', 'merchant', 'arrangement', 'merchant_acquirer', 'rely', 'pos', 'transaction', 'mac', 'determine', 'acceptance', 'merchant', 'pay', 'valid', 'pos', 'transaction']","['pay', 'detail', 'default', 'payment', 'arrangement', 'merchant_acquirer', 'provide', 'payment', 'merchant', 'arrangement', 'merchant_acquirer', 'rely', 'pos', 'transaction', 'mac', 'determine', 'acceptance', 'merchant', 'pay', 'valid', 'pos', 'transaction']",1
 The run time environment shall responsible to establish communication services  between card and off-card entities,nonsec,"['run', 'time', 'environment', 'shall', 'responsible', 'establish', 'communication', 'service', 'card', 'card', 'entity']","['run', 'time', 'environment', 'shall', 'responsible', 'establish', 'communication', 'service', 'card', 'card', 'entity']","['run', 'time', 'environment', 'shall', 'responsible', 'establish', 'communication', 'service', 'card', 'card', 'entity']",0
"For the CNG management it is recommended to use a single protocol, so as to minimize the complexity and the cost of the service.",nonsec,"['cng', 'management', 'recommend', 'use', 'single', 'protocol', 'minimize', 'complexity', 'cost', 'service']","['cng', 'management', 'recommend', 'use', 'single', 'protocol', 'minimize', 'complexity', 'cost', 'service']","['cng', 'management', 'recommend', 'use', 'single', 'protocol', 'minimize', 'complexity', 'cost', 'service']",0
"When forwarding packets from the WAN interface to the customer network, the CNG shall perform one of the following three actions, depending on the classification results: manage a number of queues corresponding to the different priorities detected in the classification phase for each packet processed, send the packets to some internal buffers or simply drop the packet.",nonsec,"['forward', 'packet', 'wan', 'interface', 'customer', 'network', 'cng', 'shall', 'perform', 'following', 'action', 'depend', 'classification', 'result', 'manage', 'number', 'queue', 'correspond', 'different', 'priority', 'detect', 'classification', 'phase', 'packet', 'process', 'send', 'packet', 'internal', 'buffer', 'simply', 'drop', 'packet']","['forward_packet', 'wan_interface', 'customer_network', 'cng', 'shall', 'perform', 'following', 'action', 'depend', 'classification', 'result', 'manage', 'number_queue', 'correspond', 'different', 'priority', 'detect', 'classification', 'phase', 'packet', 'process', 'send', 'packet', 'internal', 'buffer', 'simply', 'drop', 'packet']","['forward_packet', 'wan_interface', 'customer_network', 'cng', 'shall', 'perform', 'following', 'action', 'depend', 'classification', 'result', 'manage', 'number_queue', 'correspond', 'different', 'priority', 'detect', 'classification', 'phase', 'packet', 'process', 'send', 'packet', 'internal', 'buffer', 'simply', 'drop', 'packet']",0
"The issuer needs only to authenticate the card, and the card needs only to authenticate the issuer and that the data is the same as used by the issuer",sec,"['issuer', 'need', 'authenticate', 'card', 'card', 'need', 'authenticate', 'issuer', 'datum', 'issuer']","['issuer', 'need', 'authenticate', 'card', 'card', 'need', 'authenticate', 'issuer', 'datum', 'issuer']","['issuer', 'need', 'authenticate', 'card', 'card', 'need', 'authenticate', 'issuer', 'datum', 'issuer']",1
"Payment for a transaction is only required when a detail transaction is submitted for payment, A merchant acquirer may choose to pay the merchant using the batch total",nonsec,"['payment', 'transaction', 'require', 'detail', 'transaction', 'submit', 'payment', 'merchant', 'acquirer', 'choose', 'pay', 'merchant', 'batch', 'total']","['payment', 'transaction', 'require', 'detail', 'transaction', 'submit', 'payment', 'merchant_acquirer', 'choose', 'pay', 'merchant', 'batch', 'total']","['payment', 'transaction', 'require', 'detail', 'transaction', 'submit', 'payment', 'merchant_acquirer', 'choose', 'pay', 'merchant', 'batch', 'total']",0
" When present, services to encrypt and decrypt any pattern of data using these algorithms shall be available to Applications.",sec,"['present', 'service', 'encrypt', 'decrypt', 'pattern', 'datum', 'algorithm', 'shall', 'available', 'application']","['present', 'service', 'encrypt', 'decrypt', 'pattern', 'datum', 'algorithm', 'shall', 'available', 'application']","['present', 'service', 'encrypt', 'decrypt', 'pattern', 'datum', 'algorithm', 'shall', 'available', 'application']",1
The architecture for the electronic purse should not preclude the eventual deployment of a variety of devices to meet the needs of many card acceptance environments. Unload must not be precluded from being supported on any or all of these devices at the option of the acquirer,nonsec,"['architecture', 'electronic', 'purse', 'preclude', 'eventual', 'deployment', 'variety', 'device', 'meet', 'need', 'card', 'acceptance', 'environment', 'unload', 'preclude', 'support', 'device', 'option', 'acquirer']","['architecture', 'electronic', 'purse', 'preclude', 'eventual', 'deployment', 'variety', 'device', 'meet', 'need', 'card', 'acceptance', 'environment', 'unload', 'preclude', 'support', 'device', 'option', 'acquirer']","['architecture', 'electronic', 'purse', 'preclude', 'eventual', 'deployment', 'variety', 'device', 'meet', 'need', 'card', 'acceptance', 'environment', 'unload', 'preclude', 'support', 'device', 'option', 'acquirer']",0
 The GlobalPlatform Environment (OPEN) supports GlobalPlatform Trusted Framework functions (Secure inter-application communication) if the underlying runtime environment does not support them:,nonsec,"['globalplatform', 'environment', 'open', 'support', 'globalplatform', 'trusted', 'framework', 'function', 'secure', 'inter', 'application', 'communication', 'underlying', 'runtime', 'environment', 'support']","['globalplatform', 'environment', 'open', 'support', 'globalplatform', 'trusted', 'framework', 'function', 'secure', 'inter', 'application', 'communication', 'underlying', 'runtime_environment', 'support']","['globalplatform', 'environment', 'open', 'support', 'globalplatform', 'trusted', 'framework', 'function', 'secure', 'inter', 'application', 'communication', 'underlying', 'runtime_environment', 'support']",0
"Be the entity that maintains control over the flow of a transaction, ensuring that all security is enforced",sec,"['entity', 'maintain', 'control', 'flow', 'transaction', 'ensure', 'security', 'enforce']","['entity', 'maintain', 'control', 'flow', 'transaction', 'ensure', 'security', 'enforce']","['entity', 'maintain', 'control', 'flow', 'transaction', 'ensure', 'security', 'enforce']",1
In case of multicast streams the CNG should support proxy functionalities to optimize the management of information related to signalling.,nonsec,"['case', 'multicast', 'stream', 'cng', 'support', 'proxy', 'functionality', 'optimize', 'management', 'information', 'relate', 'signalling']","['case', 'multicast', 'stream', 'cng', 'support', 'proxy', 'functionality', 'optimize', 'management', 'information', 'relate', 'signalling']","['case', 'multicast', 'stream', 'cng', 'support', 'proxy', 'functionality', 'optimize', 'management', 'information', 'relate', 'signalling']",0
The CNG shall support a mechanism allowing the support of call forwarding toward non-IMS capable CNDs.,nonsec,"['cng', 'shall', 'support', 'mechanism', 'allow', 'support', 'forward', 'non', 'ims', 'capable', 'cnd']","['cng', 'shall', 'support_mechanism', 'allow', 'support', 'forward', 'non_ims', 'capable', 'cnd']","['cng', 'shall_support_mechanism', 'allow', 'support', 'forward', 'non_ims_capable', 'cnd']",0
"The CEP card authenticates the PSAM using the certificates previously received and the S2, The CEP card increments the value of the purse and logs the transaction",sec,"['cep', 'card', 'authenticate', 'psam', 'certificate', 'previously', 'receive', 'cep', 'card', 'increment', 'value', 'purse', 'log', 'transaction']","['cep_card', 'authenticate', 'psam', 'certificate', 'previously', 'receive', 'cep_card', 'increment', 'value', 'purse', 'log', 'transaction']","['cep_card', 'authenticate', 'psam', 'certificate', 'previously', 'receive', 'cep_card', 'increment', 'value', 'purse', 'log', 'transaction']",1
 The OPEN shall responsible to enforce security principles defined for Card Content management.,sec,"['open', 'shall', 'responsible', 'enforce', 'security', 'principle', 'define', 'card', 'content', 'management']","['open', 'shall', 'responsible', 'enforce', 'security', 'principle', 'define', 'card', 'content', 'management']","['open', 'shall', 'responsible', 'enforce', 'security', 'principle', 'define', 'card', 'content', 'management']",1
"The CNG shall be equipped with a WAN interface towards the NGN,"" implementing layer 1 and 2 functionalities (""""one-box"""" solution).",nonsec,"['cng', 'shall', 'equip', 'wan', 'interface', 'ngn', 'implement', 'layer', 'functionality', 'box', 'solution']","['cng', 'shall', 'equip', 'wan_interface', 'ngn', 'implement', 'layer', 'functionality', 'box', 'solution']","['cng', 'shall', 'equip', 'wan_interface', 'ngn', 'implement', 'layer', 'functionality', 'box', 'solution']",0
Expired cards must not be used for loading electronic value,nonsec,"['expired', 'card', 'load', 'electronic', 'value']","['expired', 'card', 'load', 'electronic', 'value']","['expired', 'card', 'load', 'electronic', 'value']",0
"If Home to Home (H2H) communication service is provided, then each CNG must limit access to local CNDs and/or media classes based on the access rights of the remote H2H user identity.",nonsec,"['home', 'home', 'communication', 'service', 'provide', 'cng', 'limit', 'access', 'local', 'cnd', 'medium', 'class', 'base', 'access', 'right', 'remote', 'user', 'identity']","['home', 'home', 'communication', 'service', 'provide', 'cng', 'limit', 'access', 'local', 'cnd', 'medium', 'class', 'base', 'access', 'right', 'remote', 'user', 'identity']","['home', 'home', 'communication', 'service', 'provide', 'cng', 'limit', 'access', 'local', 'cnd', 'medium', 'class', 'base', 'access', 'right', 'remote', 'user', 'identity']",0
"The card issuer generates S2, which is sent to the card to allow the card to validate the card issuerƒ??s authenticity and to ensure that the data used by the card in the transaction is the same as the card issuer intended",sec,"['card', 'issuer', 'generate', 'send', 'card', 'allow', 'card', 'validate', 'card', 'issuer', 'authenticity', 'ensure', 'datum', 'card', 'transaction', 'card', 'issuer', 'intend']","['card', 'issuer', 'generate', 'send', 'card', 'allow', 'card', 'validate', 'card', 'issuer', 'authenticity', 'ensure', 'datum', 'card', 'transaction', 'card', 'issuer', 'intend']","['card_issuer', 'generate', 'send', 'card', 'allow', 'card', 'validate', 'card_issuer', 'authenticity', 'ensure', 'datum', 'card', 'transaction', 'card_issuer', 'intend']",1
The terminal must participate in a two-way authentication process with the card,sec,"['terminal', 'participate', 'way', 'authentication', 'process', 'card']","['terminal', 'participate', 'way', 'authentication', 'process', 'card']","['terminal', 'participate', 'way', 'authentication', 'process', 'card']",1
 An Application AID may be the same as that of an Executable Module but may not be the same as that of an Executable Load File or the same as another Application already present in the GlobalPlatform Registry.,nonsec,"['application', 'aid', 'executable', 'module', 'executable', 'load', 'file', 'application', 'present', 'globalplatform', 'registry']","['application', 'aid', 'executable', 'module', 'executable_load', 'file', 'application', 'present', 'globalplatform_registry']","['application', 'aid', 'executable', 'module', 'executable_load_file', 'application', 'present', 'globalplatform_registry']",0
The terminal must secure transactions by retaining the cardƒ??s symmetric MACing key signature as part of the transaction,sec,"['terminal', 'secure', 'transaction', 'retain', 'card', 'symmetric', 'macing', 'key', 'signature', 'transaction']","['terminal', 'secure', 'transaction', 'retain', 'card', 'symmetric', 'macing', 'key', 'signature', 'transaction']","['terminal', 'secure', 'transaction', 'retain', 'card', 'symmetric', 'macing', 'key', 'signature', 'transaction']",1
The load device which supports only off-line PIN verification must support both the off-line PIN encryption method and the off-line PIN plain text verification method as defined in EMV,sec,"['load', 'device', 'support', 'line', 'pin', 'verification', 'support', 'line', 'pin', 'encryption', 'method', 'line', 'pin', 'plain', 'text', 'verification', 'method', 'define', 'emv']","['load', 'device', 'support', 'line_pin', 'verification', 'support', 'line_pin', 'encryption', 'method', 'line_pin', 'plain', 'text', 'verification', 'method', 'define', 'emv']","['load_device', 'support', 'line_pin_verification', 'support', 'line_pin', 'encryption', 'method', 'line_pin', 'plain', 'text', 'verification', 'method', 'define', 'emv']",1
Only one version of the CA public key is required in the card. This requires that the PSAMs with which the CEP card exchanges cryptograms must be capable of generating and validating cryptograms using the relevant keys from all current cards,sec,"['version', 'public', 'key', 'require', 'card', 'require', 'psam', 'cep', 'card', 'exchange', 'cryptogram', 'capable', 'generating', 'validate', 'cryptogram', 'relevant', 'key', 'current', 'card']","['version', 'public', 'key', 'require', 'card', 'require', 'psam', 'cep_card', 'exchange', 'cryptogram', 'capable', 'generating', 'validate', 'cryptogram', 'relevant', 'key', 'current', 'card']","['version', 'public', 'key', 'require', 'card', 'require', 'psam', 'cep_card', 'exchange', 'cryptogram', 'capable', 'generating', 'validate', 'cryptogram', 'relevant', 'key', 'current', 'card']",1
"The load acquirer needs to ensure that the issuer is the true owner of the card, and, in the case of an apparent failure of the load, the load acquirer needs the card presented to authenticate the failure",sec,"['load', 'acquirer', 'need', 'ensure', 'issuer', 'true', 'owner', 'card', 'case', 'apparent', 'failure', 'load', 'load', 'acquirer', 'need', 'card', 'present', 'authenticate', 'failure']","['load', 'acquirer', 'need', 'ensure', 'issuer', 'true', 'owner', 'card', 'case', 'apparent', 'failure', 'load', 'load', 'acquirer', 'need', 'card', 'present', 'authenticate', 'failure']","['load_acquirer', 'need', 'ensure', 'issuer', 'true', 'owner', 'card', 'case', 'apparent', 'failure', 'load', 'load_acquirer', 'need', 'card', 'present', 'authenticate', 'failure']",1
 The GlobalPlatform API shall provides services to the application such as card verification and security services ,sec,"['globalplatform', 'api', 'shall', 'provide', 'service', 'application', 'card', 'verification', 'security', 'service']","['globalplatform', 'api', 'shall', 'provide', 'service', 'application', 'card', 'verification', 'security', 'service']","['globalplatform', 'api', 'shall', 'provide', 'service', 'application', 'card', 'verification', 'security', 'service']",1
The CNG may act as a proxy for handling messages (requests and responses) related to the remote access scenarios to and from the home.,nonsec,"['cng', 'act', 'proxy', 'handle', 'message', 'request', 'response', 'relate', 'remote', 'access', 'scenario', 'home']","['cng', 'act', 'proxy', 'handle', 'message', 'request', 'response', 'relate', 'remote_access', 'scenario', 'home']","['cng', 'act', 'proxy', 'handle', 'message', 'request', 'response', 'relate', 'remote_access', 'scenario', 'home']",0
"The transaction signatures ensure end to end integrity of transmitted data for load, unload, and currency exchange transactions",sec,"['transaction', 'signature', 'ensure', 'end', 'end', 'integrity', 'transmit', 'datum', 'load', 'unload', 'currency', 'exchange', 'transaction']","['transaction', 'signature', 'ensure', 'end', 'end', 'integrity', 'transmit', 'datum', 'load', 'unload_currency', 'exchange', 'transaction']","['transaction', 'signature', 'ensure', 'end', 'end', 'integrity', 'transmit', 'datum', 'load', 'unload_currency_exchange', 'transaction']",1
 The SELECT [by name] command is processed by the OPEN.,nonsec,"['select', 'command', 'process', 'open']","['select', 'command', 'process', 'open']","['select_command', 'process', 'open']",0
 The OPEN shall Manage card and Application Life Cycle,nonsec,"['open', 'shall', 'manage', 'card', 'application', 'life', 'cycle']","['open', 'shall', 'manage', 'card', 'application', 'life_cycle']","['open', 'shall', 'manage', 'card', 'application', 'life_cycle']",0
"After investigation, if the merchant acquirer decides, based on scheme rules, to accept the transactions, a method must exist to settle them and forward them to the card issuer",nonsec,"['investigation', 'merchant', 'acquirer', 'decide', 'base', 'scheme', 'rule', 'accept', 'transaction', 'method', 'exist', 'settle', 'forward', 'card', 'issuer']","['investigation', 'merchant_acquirer', 'decide', 'base', 'scheme', 'rule', 'accept', 'transaction', 'method', 'exist', 'settle', 'forward', 'card', 'issuer']","['investigation', 'merchant_acquirer', 'decide', 'base', 'scheme', 'rule', 'accept', 'transaction', 'method', 'exist', 'settle', 'forward', 'card_issuer']",0
" Otherwise, the Supplementary Logical Channel indicated by the command is opened and the Application currently selected on the original Supplementary Logical Channel shall become the selected Application on the newly opened Supplementary Logical Channel.",nonsec,"['supplementary', 'logical', 'channel', 'indicate', 'command', 'open', 'application', 'currently', 'select', 'original', 'supplementary', 'logical', 'channel', 'shall', 'select', 'application', 'newly', 'open', 'supplementary', 'logical', 'channel']","['supplementary_logical', 'channel', 'indicate', 'command', 'open', 'application', 'currently_select', 'original', 'supplementary_logical', 'channel', 'shall', 'select_application', 'newly', 'open', 'supplementary_logical', 'channel']","['supplementary_logical_channel', 'indicate', 'command', 'open', 'application', 'currently_select', 'original', 'supplementary_logical_channel', 'shall', 'select_application', 'newly', 'open', 'supplementary_logical_channel']",0
" A GlobalPlatform card offers Entity authentication - in which the card or the off-card entity proves its authenticity to the other entity through a cryptographic exchange,",sec,"['globalplatform', 'card', 'offer', 'entity', 'authentication', 'card', 'card', 'entity', 'prove', 'authenticity', 'entity', 'cryptographic', 'exchange']","['globalplatform', 'card', 'offer', 'entity', 'authentication', 'card', 'card', 'entity', 'prove', 'authenticity', 'entity', 'cryptographic', 'exchange']","['globalplatform', 'card', 'offer', 'entity', 'authentication', 'card', 'card', 'entity', 'prove', 'authenticity', 'entity', 'cryptographic', 'exchange']",1
 All other commands (including SELECT commands not described in section 6.4.3.1.2 - Explicit Selection) are immediately dispatched to the Application currently selected on the Supplementary Logical Channel. The processing of the command by the Application is beyond the scope of this Specification.,nonsec,"['command', 'include', 'select', 'command', 'describe', 'section', 'explicit', 'selection', 'immediately', 'dispatch', 'application', 'currently', 'select', 'supplementary', 'logical', 'channel', 'processing', 'command', 'application', 'scope', 'specification']","['command', 'include', 'select', 'command', 'describe', 'section', 'explicit', 'selection', 'immediately', 'dispatch', 'application', 'currently_select', 'supplementary_logical', 'channel', 'processing', 'command', 'application', 'scope', 'specification']","['command', 'include', 'select_command', 'describe', 'section', 'explicit', 'selection', 'immediately', 'dispatch', 'application', 'currently_select', 'supplementary_logical_channel', 'processing', 'command', 'application', 'scope', 'specification']",0
" The OPEN shall support Application selection on the Basic Logical Channel via Implicit Selection following the card reset (see ISO/IEC 7816-3 for contact cards) or activation sequence (see ISO/IEC 14443-3 for contactless cards),",nonsec,"['open', 'shall', 'support', 'application', 'selection', 'basic', 'logical', 'channel', 'implicit', 'selection', 'follow', 'card', 'reset', 'iso', 'iec', 'contact', 'card', 'activation', 'sequence', 'iso', 'iec', 'contactless', 'card']","['open', 'shall', 'support', 'application', 'selection', 'basic_logical', 'channel', 'implicit', 'selection', 'follow', 'card', 'reset', 'iso', 'iec', 'contact', 'card', 'activation', 'sequence', 'iso', 'iec', 'contactless', 'card']","['open', 'shall', 'support', 'application', 'selection', 'basic_logical_channel', 'implicit', 'selection', 'follow', 'card', 'reset', 'iso', 'iec', 'contact', 'card', 'activation', 'sequence', 'iso', 'iec', 'contactless', 'card']",0
"Ensure that CA public keys, aggregation parameters, blocking lists and issuer certificate revocation lists from the scheme providers are sent to the POS devices",sec,"['ensure', 'public', 'key', 'aggregation', 'parameter', 'block', 'list', 'issuer', 'certificate', 'revocation', 'list', 'scheme', 'provider', 'send', 'pos', 'device']","['ensure', 'public', 'key', 'aggregation', 'parameter', 'block', 'list', 'issuer', 'certificate', 'revocation', 'list', 'scheme_provider', 'send', 'pos_device']","['ensure', 'public', 'key', 'aggregation', 'parameter', 'block', 'list', 'issuer', 'certificate', 'revocation', 'list', 'scheme_provider', 'send', 'pos_device']",1
The customer environment (CNG and/or CNDs) should support a mechanism to allow service roaming,nonsec,"['customer', 'environment', 'cng', 'cnd', 'support', 'mechanism', 'allow', 'service', 'roam']","['customer', 'environment', 'cng', 'cnd', 'support_mechanism', 'allow', 'service', 'roam']","['customer_environment', 'cng', 'cnd', 'support_mechanism_allow', 'service', 'roam']",0
Depending on the operation mode chosen (bridged or touted) and on the type of flow treated (unicast or multicast) the CNG shall forward packets only to the physical interfaces which are connected to devices interested to the IPTV flow.,nonsec,"['depend', 'operation', 'mode', 'choose', 'bridge', 'tout', 'type', 'flow', 'treat', 'unicast', 'multicast', 'cng', 'shall', 'forward', 'packet', 'physical', 'interface', 'connect', 'device', 'interest', 'iptv', 'flow']","['depend', 'operation', 'mode', 'choose', 'bridge', 'tout', 'type', 'flow', 'treat', 'unicast', 'multicast', 'cng', 'shall', 'forward_packet', 'physical', 'interface', 'connect', 'device', 'interest', 'iptv', 'flow']","['depend', 'operation', 'mode', 'choose', 'bridge', 'tout', 'type', 'flow', 'treat', 'unicast', 'multicast', 'cng', 'shall', 'forward_packet', 'physical', 'interface', 'connect', 'device', 'interest', 'iptv', 'flow']",0
"Share one or more MAC keys with connecting processors, create a MAC on each transmission sent to another processor, and verify the MAC on each transmission received from another processor",sec,"['share', 'mac', 'key', 'connect', 'processor', 'create', 'mac', 'transmission', 'send', 'processor', 'verify', 'mac', 'transmission', 'receive', 'processor']","['share', 'mac', 'key', 'connect', 'processor', 'create', 'mac', 'transmission', 'send', 'processor', 'verify', 'mac', 'transmission', 'receive', 'processor']","['share', 'mac', 'key', 'connect', 'processor', 'create', 'mac', 'transmission', 'send', 'processor', 'verify', 'mac', 'transmission', 'receive', 'processor']",1
"The merchant acquirer validates the PSAMƒ??s MACs prior to accepting the POS transactions for payment. In addition, selected data elements are validated to ensure correct processing by the POS device and its PSAM",sec,"['merchant', 'acquirer', 'validate', 'psam', 'macs', 'prior', 'accept', 'pos', 'transaction', 'payment', 'addition', 'select', 'datum', 'element', 'validate', 'ensure', 'correct', 'process', 'pos', 'device', 'psam']","['merchant_acquirer', 'validate', 'psam', 'macs', 'prior', 'accept', 'pos', 'transaction', 'payment', 'addition', 'select', 'datum', 'element', 'validate', 'ensure', 'correct', 'process', 'pos_device', 'psam']","['merchant_acquirer', 'validate', 'psam', 'macs', 'prior', 'accept', 'pos', 'transaction', 'payment', 'addition', 'select', 'datum', 'element', 'validate', 'ensure', 'correct', 'process', 'pos_device', 'psam']",1
Card issuers must provide an alphabetic currency code in each message that establishes a new currency. This alphabetic currency code and the currency exponent will be used by the load device to display currency balances. This allows the cardholder to identify the currency being displayed,nonsec,"['card', 'issuer', 'provide', 'alphabetic', 'currency', 'code', 'message', 'establish', 'new', 'currency', 'alphabetic', 'currency', 'code', 'currency', 'exponent', 'load', 'device', 'display', 'currency', 'balance', 'allow', 'cardholder', 'identify', 'currency', 'display']","['card', 'issuer', 'provide', 'alphabetic', 'currency', 'code', 'message', 'establish', 'new', 'currency', 'alphabetic', 'currency', 'code', 'currency', 'exponent', 'load', 'device', 'display', 'currency', 'balance', 'allow', 'cardholder', 'identify', 'currency', 'display']","['card_issuer', 'provide', 'alphabetic', 'currency', 'code', 'message', 'establish', 'new', 'currency', 'alphabetic', 'currency', 'code', 'currency', 'exponent', 'load_device', 'display', 'currency', 'balance', 'allow', 'cardholder', 'identify', 'currency', 'display']",0
The CNG may interact with network elements inside the CPN to support QoS control inside the CPN.,nonsec,"['cng', 'interact', 'network', 'element', 'inside', 'cpn', 'support', 'qos', 'control', 'inside', 'cpn']","['cng', 'interact', 'network', 'element', 'inside', 'cpn', 'support', 'qos', 'control', 'inside', 'cpn']","['cng', 'interact', 'network', 'element', 'inside', 'cpn', 'support', 'qos', 'control', 'inside', 'cpn']",0
